2015-12-07 18:49:14 -- (0, ['WOinc'], 'Ne')
2015-12-07 18:49:14 -- (1, ['WOinc'], 'Ne')
2015-12-07 18:49:14 -- (2, ['WOinc'], 'Ne')
2015-12-07 18:49:14 -- (3, ['Ne'], 'Ne')
2015-12-07 18:49:14 -- (4, ['Spar'], 'Ne')
2015-12-07 18:49:14 -- (5, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:14 -- (6, ['WOinc'], 'Ne')
2015-12-07 18:49:14 -- (7, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:14 -- (8, ['Ne'], 'Ne')
2015-12-07 18:49:14 -- (9, ['Wcip'], 'Ne')
2015-12-07 18:49:14 -- (10, ['Ne'], 'Ne')
2015-12-07 18:49:14 -- (11, ['WOinc'], 'Ne')
2015-12-07 18:49:14 -- (12, ['Ne'], 'Ne')
2015-12-07 18:49:14 -- (13, ['Srun'], 'Ne')
2015-12-07 18:49:14 -- (14, ['WOinc'], 'Ne')
2015-12-07 18:49:14 -- (15, ['Ne'], 'Ne')
2015-12-07 18:49:14 -- (16, ['Ne'], 'Ne')
2015-12-07 18:49:14 -- (17, ['WOinc'], 'Ne')
2015-12-07 18:49:14 -- (18, ['Ne'], 'Ne')
2015-12-07 18:49:14 -- (19, ['WOinc'], 'Ne')
2015-12-07 18:49:14 -- (20, ['Ne'], 'Ne')
2015-12-07 18:49:14 -- (21, ['Wtone'], 'Ne')
2015-12-07 18:49:14 -- (22, ['WOinc'], 'Ne')
2015-12-07 18:49:14 -- (23, ['Ne'], 'Ne')
2015-12-07 18:49:14 -- (24, ['Wtone'], 'Ne')
2015-12-07 18:49:14 -- (25, ['Ne'], 'Ne')
2015-12-07 18:49:14 -- (26, ['Nn'], 'Ne')
2015-12-07 18:49:14 -- (27, ['WOinc'], 'Ne')
2015-12-07 18:49:15 -- (0, ['Ne'], 'Ne')
2015-12-07 18:49:15 -- (1, ['Um'], 'Ne')
2015-12-07 18:49:15 -- (2, ['Mec'], 'Ne')
2015-12-07 18:49:15 -- (3, ['WOinc'], 'Ne')
2015-12-07 18:49:15 -- (4, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:15 -- (5, ['Cit'], 'Ne')
2015-12-07 18:49:15 -- (6, ['Um'], 'Ne')
2015-12-07 18:49:15 -- (7, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:15 -- (8, ['WOinc'], 'Ne')
2015-12-07 18:49:15 -- (9, ['Ne'], 'Ne')
2015-12-07 18:49:15 -- (10, ['Cit'], 'Ne')
2015-12-07 18:49:15 -- (11, ['Um'], 'Ne')
2015-12-07 18:49:15 -- (12, ['Trans'], 'Ne')
2015-12-07 18:49:15 -- (13, ['Srun'], 'Ne')
2015-12-07 18:49:15 -- (14, ['Srun'], 'Ne')
2015-12-07 18:49:15 -- (15, ['Mec'], 'Ne')
2015-12-07 18:49:15 -- (16, ['Nn'], 'Ne')
2015-12-07 18:49:15 -- (17, ['Cit'], 'Ne')
2015-12-07 18:49:15 -- (18, ['Cit'], 'Ne')
2015-12-07 18:49:15 -- (19, ['Cit'], 'Ne')
2015-12-07 18:49:15 -- (20, ['Mec'], 'Ne')
2015-12-07 18:49:17 -- (0, ['Ssub'], 'Ne')
2015-12-07 18:49:17 -- (1, ['Spar'], 'Ne')
2015-12-07 18:49:17 -- (2, ['Ne'], 'Ne')
2015-12-07 18:49:17 -- (3, ['Wtone'], 'Ne')
2015-12-07 18:49:17 -- (4, ['WOinc'], 'Ne')
2015-12-07 18:49:17 -- (5, ['ArtOrDet'], 'Ne')
2015-12-07 18:49:17 -- (6, ['WOinc'], 'Ne')
2015-12-07 18:49:17 -- (7, ['WOinc'], 'Ne')
2015-12-07 18:49:17 -- (8, ['WOinc'], 'Ne')
2015-12-07 18:49:17 -- (9, ['Ne'], 'Ne')
2015-12-07 18:49:17 -- (10, ['WOinc'], 'Ne')
2015-12-07 18:49:17 -- (11, ['Nn'], 'Ne')
2015-12-07 18:49:17 -- (12, ['Ne'], 'Ne')
2015-12-07 18:49:17 -- (13, ['Others'], 'Ne')
2015-12-07 18:49:17 -- (14, ['Wtone'], 'Ne')
2015-12-07 18:49:17 -- (15, ['WOinc'], 'Ne')
2015-12-07 18:49:17 -- (16, ['WOinc'], 'Ne')
2015-12-07 18:49:17 -- (17, ['Npos'], 'Ne')
2015-12-07 18:49:17 -- (18, ['WOinc'], 'Ne')
2015-12-07 18:49:17 -- (19, ['Srun'], 'Ne')
2015-12-07 18:49:17 -- (20, ['V0'], 'Ne')
2015-12-07 18:49:17 -- (21, ['Nn'], 'Ne')
2015-12-07 18:49:17 -- (22, ['WOinc'], 'Ne')
