2015-12-30 17:03:34 -- (0, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (1, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (2, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (3, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (4, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (5, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (6, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (7, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (8, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (9, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (10, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (11, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (12, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (13, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (14, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (15, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (16, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (17, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (18, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (19, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (20, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (21, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (22, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (23, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (24, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (25, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (26, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (27, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (28, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (29, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (30, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (31, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (32, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (33, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (34, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (35, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (36, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (37, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (38, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (39, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (40, ['Ne'], 'Ne')
2015-12-30 17:03:34 -- (41, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (0, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (1, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (2, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (3, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (4, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (5, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (6, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (7, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (8, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (9, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (10, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (11, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (12, ['Ne'], 'Ne')
2015-12-30 17:04:19 -- (13, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (0, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (1, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (2, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (3, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (4, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (5, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (6, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (7, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (8, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (9, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (10, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (11, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (12, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (13, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (14, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (15, ['Ne'], 'Ne')
2015-12-30 17:05:15 -- (16, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (0, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (1, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (2, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (3, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (4, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (5, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (6, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (7, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (8, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (9, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (10, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (11, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (12, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (13, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (14, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (15, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (16, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (17, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (18, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (19, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (20, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (21, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (22, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (23, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (24, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (25, ['Ne'], 'Ne')
2015-12-30 17:07:41 -- (26, ['Ne'], 'Ne')
